"1","Constituição","Constituição Federal de 1988"
"2","Decreto Federal","Decreto 7185/2010"
"3","Lei Complementar","Lei Complementar 101/2000"
"4","Lei Federal","Lei 10.520/2002"
"5","Lei Federal","Lei 12.527/2011"
"6","Lei Federal","Lei 4.320/1964"
"7","Lei Federal","Lei 5.172/1966"
"8","Lei Federal","Lei 8.429/1992"
"9","Lei Federal","Lei 8.666/1994"
"10","Lei Federal","Lei 9.873/2011"
"11","Portaria","Portaria Conjunta STN/SOF nº 1/2014"
"12","Portaria","Portaria STN 163/2001"
"13","Norma Técnica","WCAG 2.0"
"14","Norma Técnica","ISO 25010/2011"
